,country,totCase,date
179,Isle of Man,13097,2021-12-19
180,New Caledonia,12581,2021-12-19
181,Hong Kong,12526,2021-12-19
182,Central African Republic,11961,2021-12-19
183,Yemen,10101,2021-12-19
184,Gambia,10051,2021-12-19
185,Cayman Islands,8097,2021-12-19
186,Gibraltar,7822,2021-12-19
187,Eritrea,7763,2021-12-19
188,Niger,7199,2021-12-19
189,San Marino,7007,2021-12-19
190,Sierra Leone,6505,2021-12-19
191,Guinea-Bissau,6456,2021-12-19
192,Dominica,6286,2021-12-19
193,Grenada,5919,2021-12-19
194,Liberia,5844,2021-12-19
195,Bermuda,5815,2021-12-19
196,Saint Vincent and the Grenadines,5758,2021-12-19
197,Chad,5703,2021-12-19
198,Liechtenstein,5661,2021-12-19
199,Faeroe Islands,4735,2021-12-19
200,Comoros,4649,2021-12-19
201,Monaco,4406,2021-12-19
202,Antigua and Barbuda,4198,2021-12-19
203,Sao Tome and Principe,3735,2021-12-19
204,Bonaire Sint Eustatius and Saba,3204,2021-12-19
205,Turks and Caicos Islands,3163,2021-12-19
206,British Virgin Islands,2886,2021-12-19
207,Saint Kitts and Nevis,2801,2021-12-19
208,Bhutan,2657,2021-12-19
209,Greenland,1969,2021-12-19
210,Anguilla,1592,2021-12-19
211,International,721,2021-12-19
212,Wallis and Futuna,454,2021-12-19
213,Saint Pierre and Miquelon,96,2021-12-19
214,Falkland Islands,83,2021-12-19
215,Macao,77,2021-12-19
216,Montserrat,44,2021-12-19
217,Vatican,27,2021-12-19
218,Solomon Islands,20,2021-12-19
219,Palau,8,2021-12-19
220,Vanuatu,7,2021-12-19
221,Marshall Islands,4,2021-12-19
222,Saint Helena,4,2021-12-19
223,Samoa,3,2021-12-19
224,Kiribati,2,2021-12-19
225,Cook Islands,2,2021-12-19
226,Tonga,1,2021-12-19
227,Micronesia (country),1,2021-12-19
